Kingston,"666,041"
St. Thomas,"94,410"
Portland,"82,183"
St. Mary,"114,227"
St. Ann,"173,232"
Trelawny,"75,558"
St. James,"184,662"
Hanover,"69,874"
Westmoreland,"144,817"
St. Elizabeth,"150,993"
Manchester,"190,812"
Clarendon,"246,322"
St. Catherine,"518,345"
St. Andrew,"666,041"
